PassengerId,Survived
892,0.03
893,0.15333333333333332
894,0.21
895,0.6789478696741854
896,0.07
897,0.3298968253968254
898,0.2876653156698823
899,0.02
900,0.755
901,0.11
902,0.5925714285714284
903,0.18145238095238092
904,0.99
905,0.02
906,0.99
907,0.97
908,0.136
909,0.34474999999999995
910,0.85
911,0.31375
912,0.10666666666666666
913,0.51
914,0.982
915,0.55
916,1.0
917,0.0
918,1.0
919,0.4327857142857144
920,0.8583333333333333
921,0.0785
922,0.055
923,0.02
924,0.8311666666666666
925,0.23855952380952378
926,0.11
927,0.297
928,0.86
929,0.04
930,0.0415
931,0.7994880952380954
932,0.261
933,0.8690732323232322
934,0.0
935,0.995
936,0.97
937,0.0415
938,0.4528333333333335
939,0.10635480695812163
940,0.92
941,0.925
942,0.23
943,0.20199999999999999
944,0.99
945,0.98
946,0.20199999999999999
947,0.14476190476190479
948,0.0
949,0.18979834054834047
950,0.03
951,0.99
952,0.0
953,0.16733333333333333
954,0.0
955,0.7983333333333335
956,0.89
957,0.84
958,0.32
959,0.0
960,0.260452380952381
961,0.99
962,0.7701704104718812
963,0.17840873015873018
964,0.17433333333333334
965,0.2987142857142858
966,1.0
967,0.53
968,0.6789478696741854
969,0.96
970,0.0
971,0.7701704104718812
972,0.44
973,0.02
974,0.81
975,0.5925714285714284
976,0.36369254239277127
977,0.0785
978,0.8800693817250398
979,0.6859999999999999
980,0.8800693817250398
981,0.96
982,0.07
983,0.5925714285714284
984,0.87
985,0.6789478696741854
986,0.7038809523809523
987,0.18979834054834047
988,0.85
989,0.32910714285714276
990,0.8506666666666668
991,0.04104945054945055
992,0.99
993,0.01
994,0.10635480695812163
995,0.0
996,0.9
997,0.0
998,0.06042857142857143
999,0.10635480695812163
1000,0.6789478696741854
1001,0.0
1002,0.14366666666666666
1003,0.8800693817250398
1004,0.99
1005,0.32
1006,0.95
1007,0.6291666666666668
1008,0.17342565337998772
1009,0.3975
1010,0.23
1011,1.0
1012,0.915
1013,0.06138621553884712
1014,1.0
1015,0.03159627855833232
1016,0.10635480695812163
1017,0.16
1018,0.0
1019,0.98
1020,0.40766666666666673
1021,0.003333333333333333
1022,0.41311366411366424
1023,0.3211666666666666
1024,0.23855952380952378
1025,0.09976302863802865
1026,0.0
1027,0.1881825396825396
1028,0.04836287160551867
1029,0.0
1030,0.05
1031,0.03
1032,0.0
1033,1.0
1034,0.63
1035,0.05261111111111111
1036,0.885
1037,0.04
1038,0.4928170024420022
1039,0.0
1040,0.8690732323232322
1041,0.05
1042,1.0
1043,0.17342565337998772
1044,0.0
1045,0.37
1046,0.01
1047,0.1881825396825396
1048,1.0
1049,0.94
1050,0.885
1051,0.37
1052,0.8800693817250398
1053,0.5
1054,0.8113333333333334
1055,0.5925714285714284
1056,0.3793333333333333
1057,0.3173611111111111
1058,0.2958809523809524
1059,0.0
1060,0.935
1061,0.05
1062,0.5925714285714284
1063,0.17342565337998772
1064,0.41
1065,0.17342565337998772
1066,0.03
1067,1.0
1068,0.93
1069,0.10416666666666666
1070,1.0
1071,0.86
1072,0.0
1073,0.6308333333333332
1074,1.0
1075,0.10635480695812163
1076,0.96
